[XueTr][SSDT]: 284
序号		函数名称		当前函数地址		Hook		原始函数地址		当前函数地址所在模块
0		NtAcceptConnectPort		0x8059AAA0		-		0x8059AAA0		C:\WINDOWS\system32\ntkrnlpa.exe
1		NtAccessCheck		0x805E8850		-		0x805E8850		C:\WINDOWS\system32\ntkrnlpa.exe
2		NtAccessCheckAndAuditAlarm		0x805EC096		-		0x805EC096		C:\WINDOWS\system32\ntkrnlpa.exe
3		NtAccessCheckByType		0x805E8882		-		0x805E8882		C:\WINDOWS\system32\ntkrnlpa.exe
4		NtAccessCheckByTypeAndAuditAlarm		0x805EC0D0		-		0x805EC0D0		C:\WINDOWS\system32\ntkrnlpa.exe
5		NtAccessCheckByTypeResultList		0x805E88B8		-		0x805E88B8		C:\WINDOWS\system32\ntkrnlpa.exe
6		NtAccessCheckByTypeResultListAndAuditAlarm		0x805EC114		-		0x805EC114		C:\WINDOWS\system32\ntkrnlpa.exe
7		NtAccessCheckByTypeResultListAndAuditAlarmByHandle		0x805EC158		-		0x805EC158		C:\WINDOWS\system32\ntkrnlpa.exe
8		NtAddAtom		0x8060D88E		-		0x8060D88E		C:\WINDOWS\system32\ntkrnlpa.exe
9		NtAddBootEntry		0x8060E5D2		-		0x8060E5D2		C:\WINDOWS\system32\ntkrnlpa.exe
10		NtAdjustGroupsToken		0x805E3C4E		-		0x805E3C4E		C:\WINDOWS\system32\ntkrnlpa.exe
11		NtAdjustPrivilegesToken		0x805E38A6		-		0x805E38A6		C:\WINDOWS\system32\ntkrnlpa.exe
12		NtAlertResumeThread		0x805CBF92		-		0x805CBF92		C:\WINDOWS\system32\ntkrnlpa.exe
13		NtAlertThread		0x805CBF42		-		0x805CBF42		C:\WINDOWS\system32\ntkrnlpa.exe
14		NtAllocateLocallyUniqueId		0x8060DEB4		-		0x8060DEB4		C:\WINDOWS\system32\ntkrnlpa.exe
15		NtAllocateUserPhysicalPages		0x805AC72E		-		0x805AC72E		C:\WINDOWS\system32\ntkrnlpa.exe
16		NtAllocateUuids		0x8060D4CC		-		0x8060D4CC		C:\WINDOWS\system32\ntkrnlpa.exe
17		NtAllocateVirtualMemory		0x8059EF16		-		0x8059EF16		C:\WINDOWS\system32\ntkrnlpa.exe
18		NtAreMappedFilesTheSame		0x805A6B70		-		0x805A6B70		C:\WINDOWS\system32\ntkrnlpa.exe
19		NtAssignProcessToJobObject		0x805CDA70		-		0x805CDA70		C:\WINDOWS\system32\ntkrnlpa.exe
20		NtCallbackReturn		0x80500838		-		0x80500838		C:\WINDOWS\system32\ntkrnlpa.exe
21		NtCancelDeviceWakeupRequest		0x805BF644		-		0x805BF644		C:\WINDOWS\system32\ntkrnlpa.exe
22		NtCancelIoFile		0x8056CDE6		-		0x8056CDE6		C:\WINDOWS\system32\ntkrnlpa.exe
23		NtCancelTimer		0x805360AC		-		0x805360AC		C:\WINDOWS\system32\ntkrnlpa.exe
24		NtClearEvent		0x80606B64		-		0x80606B64		C:\WINDOWS\system32\ntkrnlpa.exe
25		NtClose		0x805B2DBA		-		0x805B2DBA		C:\WINDOWS\system32\ntkrnlpa.exe
26		NtCloseObjectAuditAlarm		0x805EC5D0		-		0x805EC5D0		C:\WINDOWS\system32\ntkrnlpa.exe
27		NtCompactKeys		0x8061B8EC		-		0x8061B8EC		C:\WINDOWS\system32\ntkrnlpa.exe
28		NtCompareTokens		0x805F0AE4		-		0x805F0AE4		C:\WINDOWS\system32\ntkrnlpa.exe
29		NtCompleteConnectPort		0x8059B18E		-		0x8059B18E		C:\WINDOWS\system32\ntkrnlpa.exe
30		NtCompressKey		0x8061BB40		-		0x8061BB40		C:\WINDOWS\system32\ntkrnlpa.exe
31		NtConnectPort		0x8059AA40		-		0x8059AA40		C:\WINDOWS\system32\ntkrnlpa.exe
32		NtContinue		0x80541EB8		-		0x80541EB8		C:\WINDOWS\system32\ntkrnlpa.exe
33		NtCreateDebugObject		0x8063A6B2		-		0x8063A6B2		C:\WINDOWS\system32\ntkrnlpa.exe
34		NtCreateDirectoryObject		0x805B4DEE		-		0x805B4DEE		C:\WINDOWS\system32\ntkrnlpa.exe
35		NtCreateEvent		0x80606BB4		-		0x80606BB4		C:\WINDOWS\system32\ntkrnlpa.exe
36		NtCreateEventPair		0x8060EE48		-		0x8060EE48		C:\WINDOWS\system32\ntkrnlpa.exe
37		NtCreateFile		0x8056F38C		-		0x8056F38C		C:\WINDOWS\system32\ntkrnlpa.exe
38		NtCreateIoCompletion		0x8056ED6A		-		0x8056ED6A		C:\WINDOWS\system32\ntkrnlpa.exe
39		NtCreateJobObject		0x805CCA34		-		0x805CCA34		C:\WINDOWS\system32\ntkrnlpa.exe
40		NtCreateJobSet		0x805CC76C		-		0x805CC76C		C:\WINDOWS\system32\ntkrnlpa.exe
41		NtCreateKey		0x8061BD1C		-		0x8061BD1C		C:\WINDOWS\system32\ntkrnlpa.exe
42		NtCreateMailslotFile		0x8056F49A		-		0x8056F49A		C:\WINDOWS\system32\ntkrnlpa.exe
43		NtCreateMutant		0x8060F240		-		0x8060F240		C:\WINDOWS\system32\ntkrnlpa.exe
44		NtCreateNamedPipeFile		0x8056F3C6		-		0x8056F3C6		C:\WINDOWS\system32\ntkrnlpa.exe
45		NtCreatePagingFile		0x805A1EFE		-		0x805A1EFE		C:\WINDOWS\system32\ntkrnlpa.exe
46		NtCreatePort		0x8059B55C		-		0x8059B55C		C:\WINDOWS\system32\ntkrnlpa.exe
47		NtCreateProcess		0x805C85B2		-		0x805C85B2		C:\WINDOWS\system32\ntkrnlpa.exe
48		NtCreateProcessEx		0x805C84FC		-		0x805C84FC		C:\WINDOWS\system32\ntkrnlpa.exe
49		NtCreateProfile		0x8060F660		-		0x8060F660		C:\WINDOWS\system32\ntkrnlpa.exe
50		NtCreateSection		0x805A1842		-		0x805A1842		C:\WINDOWS\system32\ntkrnlpa.exe
51		NtCreateSemaphore		0x8060CBEA		-		0x8060CBEA		C:\WINDOWS\system32\ntkrnlpa.exe
52		NtCreateSymbolicLinkObject		0x805BA714		-		0x805BA714		C:\WINDOWS\system32\ntkrnlpa.exe
53		NtCreateThread		0x805C839A		-		0x805C839A		C:\WINDOWS\system32\ntkrnlpa.exe
54		NtCreateTimer		0x8060EB10		-		0x8060EB10		C:\WINDOWS\system32\ntkrnlpa.exe
55		NtCreateToken		0x805F0E8C		-		0x805F0E8C		C:\WINDOWS\system32\ntkrnlpa.exe
56		NtCreateWaitablePort		0x8059B580		-		0x8059B580		C:\WINDOWS\system32\ntkrnlpa.exe
57		NtDebugActiveProcess		0x8063B78E		-		0x8063B78E		C:\WINDOWS\system32\ntkrnlpa.exe
58		NtDebugContinue		0x8063B8DE		-		0x8063B8DE		C:\WINDOWS\system32\ntkrnlpa.exe
59		NtDelayExecution		0x8060E522		-		0x8060E522		C:\WINDOWS\system32\ntkrnlpa.exe
60		NtDeleteAtom		0x8060DD44		-		0x8060DD44		C:\WINDOWS\system32\ntkrnlpa.exe
61		NtDeleteBootEntry		0x805BF644		-		0x805BF644		C:\WINDOWS\system32\ntkrnlpa.exe
62		NtDeleteFile		0x8056CF2C		-		0x8056CF2C		C:\WINDOWS\system32\ntkrnlpa.exe
63		NtDeleteKey		0x8061C1B8		-		0x8061C1B8		C:\WINDOWS\system32\ntkrnlpa.exe
64		NtDeleteObjectAuditAlarm		0x805EC6DC		-		0x805EC6DC		C:\WINDOWS\system32\ntkrnlpa.exe
65		NtDeleteValueKey		0x8061C388		-		0x8061C388		C:\WINDOWS\system32\ntkrnlpa.exe
66		NtDeviceIoControlFile		0x8056F552		-		0x8056F552		C:\WINDOWS\system32\ntkrnlpa.exe
67		NtDisplayString		0x8060AB5E		-		0x8060AB5E		C:\WINDOWS\system32\ntkrnlpa.exe
68		NtDuplicateObject		0x805B49CE		-		0x805B49CE		C:\WINDOWS\system32\ntkrnlpa.exe
69		NtDuplicateToken		0x805E4AFC		-		0x805E4AFC		C:\WINDOWS\system32\ntkrnlpa.exe
70		NtEnumerateBootEntries		0x8060E5D2		-		0x8060E5D2		C:\WINDOWS\system32\ntkrnlpa.exe
71		NtEnumerateKey		0x8061C568		-		0x8061C568		C:\WINDOWS\system32\ntkrnlpa.exe
72		NtEnumerateSystemEnvironmentValuesEx		0x8060E5C4		-		0x8060E5C4		C:\WINDOWS\system32\ntkrnlpa.exe
73		NtEnumerateValueKey		0x8061C7D2		-		0x8061C7D2		C:\WINDOWS\system32\ntkrnlpa.exe
74		NtExtendSection		0x805AA29A		-		0x805AA29A		C:\WINDOWS\system32\ntkrnlpa.exe
75		NtFilterToken		0x805E4CA8		-		0x805E4CA8		C:\WINDOWS\system32\ntkrnlpa.exe
76		NtFindAtom		0x8060DAF8		-		0x8060DAF8		C:\WINDOWS\system32\ntkrnlpa.exe
77		NtFlushBuffersFile		0x8056CFF8		-		0x8056CFF8		C:\WINDOWS\system32\ntkrnlpa.exe
78		NtFlushInstructionCache		0x805ACFB8		-		0x805ACFB8		C:\WINDOWS\system32\ntkrnlpa.exe
79		NtFlushKey		0x8061CA3C		-		0x8061CA3C		C:\WINDOWS\system32\ntkrnlpa.exe
